"CodInsc","Inscricao","Codigo","Semestre","Ano","Status","Freq","Nota","Obs","Carga","Creditos"
1,1,10,"1","2007","Aprovado","Suficiente",9.39999961853027,"",60,4
2,1,9,"1","2007","Aprovado","Suficiente",9,"",60,4
3,1,11,"1","2007","Aprovado","Suficiente",10,"",60,2
4,3,9,"1","2003","Aprovado","Suficiente",8,"",30,2
5,3,10,"1","2003","Aprovado","Suficiente",7.5,"",60,4
6,3,13,"1","2003","Aprovado","Suficiente",10,"",60,4
7,3,11,"1","2003","Aprovado","Suficiente",9.19999980926514,"",30,2
8,3,12,"2","2003","Aprovado","Suficiente",10,"",90,6
9,3,14,"2","2003","Aprovado","Suficiente",10,"",60,4
10,3,32,"2","2005","Aprovado","Suficiente",,"",600,40
11,4,9,"1","2004","Aprovado","Suficiente",8.10000038146973,"",30,2
12,4,10,"1","2004","Aprovado","Suficiente",7,"",60,4
13,4,11,"1","2004","Aprovado","Suficiente",9.69999980926514,"",30,2
14,4,12,"2","2004","Aprovado","Suficiente",10,"",150,10
15,4,13,"1","2005","Aprovado","Suficiente",10,"",60,4
16,4,32,"1","2006","Aprovado","Suficiente",10,"",600,40
17,5,9,"1","2006","Aprovado","Suficiente",9.5,"",60,4
18,5,10,"1","2006","Aprovado","Suficiente",7.71000003814697,"",60,4
19,5,11,"1","2006","Aprovado","Suficiente",9.5,"",30,2
20,5,12,"1","2006","Aprovado","Suficiente",10,"",150,10
21,5,13,"1","2006","Aprovado","Suficiente",10,"",60,4
22,5,29,"2","2006","Aprovado","Suficiente",10,"",30,2
23,5,30,"1","2007","Aprovado","Suficiente",10,"",30,2
24,5,31,"2","2007","Aprovado","Suficiente",10,"",30,2
25,6,9,"1","2003","Aprovado","Suficiente",9,"Bioestatística - MPM.S02001",30,2
26,6,10,"1","2003","Aprovado","Suficiente",6.80000019073486,"Princípios de Epidemiologia - MPM.S04002",60,4
27,6,13,"1","2003","Aprovado","Suficiente",10,"Seminário de Pesq do Mestrado MPM.S04003",60,4
